Event,Session,Competitor,CompetitorName,Sector1,Sector2,Sector3,Sector4,Speed,LapTime,LocalTime,Lap,Box,Cancelled,CurrentPosition,FinalPosition,SessionPosition,LapsRunningCount,CircuitName,CircuitLength,Constructor,CompetitorDOB,TeamName,Championship,WetWeather,RaceRedFlagNotValid,TeamType,CompetitorType
1,FP1,1,Rea Jonathan,31998,31336,21775,26356,305.9,151465,21052021 103356415,1,False,False,1,6,6,1,Aragón,5077,Kawasaki,02/02/1987,Kawasaki Racing Team WorldSBK,WorldSBK,False,False,R,P
1,FP1,1,Rea Jonathan,31668,31173,21598,26395,305.0,150834,21052021 103547249,2,False,False,1,6,6,2,Aragón,5077,Kawasaki,02/02/1987,Kawasaki Racing Team WorldSBK,WorldSBK,False,False,R,P
1,FP1,1,Rea Jonathan,33219,31770,21932,32056,300.0,158977,21052021 103746226,3,True,False,2,6,6,3,Aragón,5077,Kawasaki,02/02/1987,Kawasaki Racing Team WorldSBK,WorldSBK,False,False,R,P
1,FP1,1,Rea Jonathan,446802,32822,22397,26755,305.9,608776,21052021 104355002,4,True,False,2,6,6,4,Aragón,5077,Kawasaki,02/02/1987,Kawasaki Racing Team WorldSBK,WorldSBK,False,False,R,P
1,FP1,1,Rea Jonathan,31883,31268,21436,26348,305.9,150935,21052021 104545937,5,False,False,2,6,6,5,Aragón,5077,Kawasaki,02/02/1987,Kawasaki Racing Team WorldSBK,WorldSBK,False,False,R,P
1,FP1,1,Rea Jonathan,31744,31227,21577,26472,305.9,151020,21052021 104736957,6,False,False,2,6,6,6,Aragón,5077,Kawasaki,02/02/1987,Kawasaki Racing Team WorldSBK,WorldSBK,False,False,R,P
1,FP1,1,Rea Jonathan,31743,31351,21482,26413,308.5,150989,21052021 104927946,7,False,False,2,6,6,7,Aragón,5077,Kawasaki,02/02/1987,Kawasaki Racing Team WorldSBK,WorldSBK,False,False,R,P
1,FP1,1,Rea Jonathan,31833,31314,21598,26366,313.9,151111,21052021 105119057,8,False,False,2,6,6,8,Aragón,5077,Kawasaki,02/02/1987,Kawasaki Racing Team WorldSBK,WorldSBK,False,False,R,P
1,FP1,1,Rea Jonathan,31892,31289,21648,32190,305.0,157019,21052021 105316076,9,True,False,2,6,6,9,Aragón,5077,Kawasaki,02/02/1987,Kawasaki Racing Team WorldSBK,WorldSBK,False,False,R,P
1,FP1,1,Rea Jonathan,1256962,31776,21908,26895,302.5,1417541,21052021 110733617,10,True,False,2,6,6,10,Aragón,5077,Kawasaki,02/02/1987,Kawasaki Racing Team WorldSBK,WorldSBK,False,False,R,P
1,FP1,1,Rea Jonathan,31907,31444,21520,26877,305.9,151748,21052021 110925365,11,False,False,2,6,6,11,Aragón,5077,Kawasaki,02/02/1987,Kawasaki Racing Team WorldSBK,WorldSBK,False,False,R,P
1,FP1,1,Rea Jonathan,31849,31559,21597,26664,305.0,151669,21052021 111117034,12,False,False,3,6,6,12,Aragón,5077,Kawasaki,02/02/1987,Kawasaki Racing Team WorldSBK,WorldSBK,False,False,R,P
1,FP1,1,Rea Jonathan,31881,31518,21735,26813,305.9,151947,21052021 111308981,13,False,False,5,6,6,13,Aragón,5077,Kawasaki,02/02/1987,Kawasaki Racing Team WorldSBK,WorldSBK,False,False,R,P
